state,n,pct
IL,6329,0.9887517575378847
IN,11,0.0017184814872676145
IA,9,0.0014060303077644118
MO,8,0.0012498047180128104
WI,8,0.0012498047180128104
WA,7,0.0010935791282612093
TX,6,9.373535385096079e-4
CA,3,4.6867676925480396e-4
FL,3,4.6867676925480396e-4
KY,3,4.6867676925480396e-4
TN,3,4.6867676925480396e-4
GA,2,3.124511795032026e-4
MD,2,3.124511795032026e-4
MN,2,3.124511795032026e-4
AL,1,1.562255897516013e-4
CT,1,1.562255897516013e-4
KS,1,1.562255897516013e-4
MT,1,1.562255897516013e-4
NJ,1,1.562255897516013e-4
