class_label,n
GLOW All-Ages Scavenger Hunt,589
Owl Night,77
Foraging Hike with Naturalist-in-Residence,76
Camp Lost Garden - Summer Camp,69
GLOW Teen Scavenger Hunt,62
"Fireside Fridays: Ghosts, Ghouls, and Grandma?!? (A Dia de los Muertos Celebration)",61
Camp Lost Garden - Fall Camp,54
Holiday Wreath Making (Dec. 4),50
Holiday Wreath Making (Dec 3),49
Holiday Wreath Making (Dec. 5),44
Fireside Fridays: Stargazing and S'mores,40
Holiday Wreath Making 11/29,40
Holiday Wreath Making 12/6,40
Soap Making Demonstration,40
A Victorian Christmas Soiree,38
Amazing Allerton Race: All-Ages,38
Flower Arranging,36
Holiday Wreath Making (Dec 4),35
A Victorian Holiday Soiree,34
(SOLD OUT) Beginning Watercolor,33
Fall Flower Arranging,31
OSES: <93>Reparations: Universalism and the African American Struggle for Autonomy<94>,29
Public Mansion Tour 10/15,29
(SOLD OUT) Barn Quilt Painting,28
Public Mansion Tour 9/24,28
Family Movie Night,27
Fu Dog Painting Workshop,27
Holiday Cookie Decorating,27
Public Mansion Tour 7/16,27
Public Mansion Tour 8/6,27
