skim_type,skim_variable,n_missing,complete_rate,Date.min,Date.max,Date.median,Date.n_unique,character.min,character.max,character.empty,character.n_unique,character.whitespace,difftime.min,difftime.max,difftime.median,difftime.n_unique,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
Date,start_date_dt,0,1,2023-09-06,2025-12-20,2025-03-04,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date,end_date_dt,456,0.05785123966942152,2023-09-17,2025-11-15,2024-10-13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,class_name,0,1,NA,NA,NA,NA,12,106,0,450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,instructor,7,0.9855371900826446,NA,NA,NA,NA,8,20,0,73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,price,0,1,NA,NA,NA,NA,5,7,0,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,start_date,0,1,NA,NA,NA,NA,10,10,0,347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,end_date,456,0.05785123966942152,NA,NA,NA,NA,10,10,0,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,class_type,0,1,NA,NA,NA,NA,4,18,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,location,21,0.9566115702479339,NA,NA,NA,NA,6,30,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,room,386,0.2024793388429752,NA,NA,NA,NA,4,11,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,days_of_week,347,0.2830578512396694,NA,NA,NA,NA,3,8,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,featured,0,1,NA,NA,NA,NA,2,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,kids_class,0,1,NA,NA,NA,NA,2,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,register_online,0,1,NA,NA,NA,NA,2,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,continuous_enrollment,0,1,NA,NA,NA,NA,2,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,canceled,0,1,NA,NA,NA,NA,2,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,visibility,0,1,NA,NA,NA,NA,6,8,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,folk_school,0,1,NA,NA,NA,NA,3,17,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,class_clean,0,1,NA,NA,NA,NA,6,62,0,189,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
difftime,start_time,2,0.9958677685950413,NA,NA,NA,NA,NA,NA,NA,NA,NA,28800,68400,16:00:00,19,NA,NA,NA,NA,NA,NA,NA,NA
difftime,end_time,3,0.993801652892562,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,79200,18:00:00,23,NA,NA,NA,NA,NA,NA,NA,NA
numeric,max_seats,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.231404958677686,8.64363271013996,3,10,15,20,50,▇▇▃▁▁
numeric,min_seats,323,0.3326446280991735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9813664596273295,3.893058003821419,0,2,5,6,30,▇▂▁▁▁
numeric,length_in_weeks,408,0.15702479338842978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,2.4610295948376293,0,3,4,5,12,▅▆▇▁▁
numeric,registrants,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.900826446280992,7.430734628618859,0,1,5,10,50,▇▂▁▁▁
numeric,waiting_list,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5950413223140496,1.7401768663671062,0,0,0,0,17,▇▁▁▁▁
numeric,price_num,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.90289256198348,58.20461579724047,5,25,60,90,450,▇▂▁▁▁
