skim_type,skim_variable,n_missing,complete_rate,Date.min,Date.max,Date.median,Date.n_unique,character.min,character.max,character.empty,character.n_unique,character.whitespace
Date,last_registered_on,0,1,2023-01-25,2025-12-30,2024-04-26,838,NA,NA,NA,NA,NA
Date,last_registered_on_dt,0,1,2023-01-25,2025-12-30,2024-04-26,838,NA,NA,NA,NA,NA
Date,date_of_birth_dt,3333,0.203584229390681,2004-01-01,2025-04-21,2015-03-02,744,NA,NA,NA,NA,NA
character,first_name,0,1,NA,NA,NA,NA,1,14,0,1580,0
character,last_name,1,0.9997610513739545,NA,NA,NA,NA,1,22,0,2392,0
character,phone,0,1,NA,NA,NA,NA,1,12,0,2518,0
character,email,2023,0.5166069295101553,NA,NA,NA,NA,13,36,0,2140,0
character,address,0,1,NA,NA,NA,NA,2,36,0,2509,0
character,city,0,1,NA,NA,NA,NA,2,23,0,315,0
character,state,0,1,NA,NA,NA,NA,2,2,0,19,0
character,zip,0,1,NA,NA,NA,NA,5,5,0,281,0
character,date_of_birth_standard_form,3333,0.203584229390681,NA,NA,NA,NA,8,10,0,744,0
character,gender_standard_form,0,1,NA,NA,NA,NA,4,20,0,4,0
character,additional_parent_guardian_names_standard_form,3335,0.2031063321385902,NA,NA,NA,NA,1,145,0,605,0
character,additional_phone_number_standard_form,0,1,NA,NA,NA,NA,8,11,0,2895,0
character,race_ethnicity_standard_form,0,1,NA,NA,NA,NA,5,116,0,18,0
character,are_you_of_hispanic_latinx_or_spanish_origin_standard_form,0,1,NA,NA,NA,NA,2,20,0,3,0
character,are_you_a_university_of_illinois_student_standard_form,3500,0.16367980884109912,NA,NA,NA,NA,2,3,0,2,0
